Issue key,Issue id,Summary,Issue Type,Status,Status Category,Project key,Project name,Priority,Resolution,Assignee,Reporter,Creator,Parent key,Parent summary,Team Name,Sprint,Created,Updated,Resolved,Due date,Custom field (Domain),Custom field (Story Points),Custom field (Solution Architect),Original estimate
GTS-176,100176,Decommission Duty Management reconciliation,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,05/May/26 12:00 AM,19/May/26 12:00 AM,19/May/26 12:00 AM,18/May/26 12:00 AM,,,Priya Nandakumar,14400
GTS-177,100177,Migrate Denied Party dashboard,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,21/Jul/26 12:00 AM,07/Aug/26 12:00 AM,07/Aug/26 12:00 AM,07/Aug/26 12:00 AM,,,Marta Kowalski,72000
GTS-178,100178,Document Product Classification approval workflow,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,04/Apr/26 12:00 AM,05/May/26 12:00 AM,05/May/26 12:00 AM,02/May/26 12:00 AM,,,Daniel Osei,208800
GTS-179,100179,Test Denied Party cutover task,Task,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,03/Apr/26 12:00 AM,03/Apr/26 12:00 AM,,20/Apr/26 12:00 AM,,,Priya Nandakumar,129600
GTS-180,100180,Design Denied Party audit trail,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,14/Jan/26 12:00 AM,25/Feb/26 12:00 AM,25/Feb/26 12:00 AM,17/Feb/26 12:00 AM,,,Priya Nandakumar,108000
GTS-181,100181,Document Duty Management conversion rule,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,24/Jun/26 12:00 AM,06/Jul/26 12:00 AM,06/Jul/26 12:00 AM,09/Jul/26 12:00 AM,,,Amara Okafor,86400
GTS-182,100182,Build Product Classification reconciliation,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,17/Jun/26 12:00 AM,30/Jun/26 12:00 AM,30/Jun/26 12:00 AM,30/Jun/26 12:00 AM,,,Sean Gallagher,115200
GTS-183,100183,Validate Broker EDI reconciliation,Task,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,17/Feb/26 12:00 AM,06/Aug/26 12:00 AM,,03/May/26 12:00 AM,,,Daniel Osei,36000
GTS-184,100184,Build Denied Party training module,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,10/Apr/26 12:00 AM,23/Aug/26 12:00 AM,,19/Apr/26 12:00 AM,,,Hiroshi Tanaka,172800
GTS-185,100185,Onboard Product Classification approval workflow,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,01/Mar/26 12:00 AM,26/Mar/26 12:00 AM,,26/Mar/26 12:00 AM,,,Amara Okafor,183600
GTS-186,100186,Automate Product Classification user role,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,26/Apr/26 12:00 AM,07/Jul/26 12:00 AM,07/Jul/26 12:00 AM,23/Jul/26 12:00 AM,,,Priya Nandakumar,61200
GTS-187,100187,Migrate Broker EDI reconciliation,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,21/Apr/26 12:00 AM,14/May/26 12:00 AM,14/May/26 12:00 AM,20/May/26 12:00 AM,,,Sean Gallagher,129600
GTS-188,100188,Design Duty Management master record,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,27/Mar/26 12:00 AM,19/May/26 12:00 AM,19/May/26 12:00 AM,02/Jun/26 12:00 AM,,,Daniel Osei,18000
GTS-189,100189,Document Denied Party API contract,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,03/Apr/26 12:00 AM,18/Aug/26 12:00 AM,,08/May/26 12:00 AM,,,Marta Kowalski,100800
GTS-190,100190,Build Broker EDI conversion rule,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,10/Feb/26 12:00 AM,04/Mar/26 12:00 AM,04/Mar/26 12:00 AM,11/Mar/26 12:00 AM,,,Marta Kowalski,75600
GTS-191,100191,Document Product Classification batch job,Task,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,17/Feb/26 12:00 AM,26/Aug/26 12:00 AM,,12/Mar/26 12:00 AM,,,Priya Nandakumar,270000
GTS-192,100192,Test Duty Management dashboard,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,27/Mar/26 12:00 AM,02/Apr/26 12:00 AM,02/Apr/26 12:00 AM,03/Apr/26 12:00 AM,,,Hiroshi Tanaka,72000
GTS-193,100193,Document Product Classification interface,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,21/Jun/26 12:00 AM,09/Aug/26 12:00 AM,,13/Jul/26 12:00 AM,,,Hiroshi Tanaka,187200
GTS-194,100194,Test Product Classification reporting extract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,06/Feb/26 12:00 AM,05/Mar/26 12:00 AM,05/Mar/26 12:00 AM,04/Mar/26 12:00 AM,,,Priya Nandakumar,61200
GTS-195,100195,Test Broker EDI conversion rule,Task,Blocked,In Progress,GTS,SAP GTS,P3 - Medium,,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,23/Jun/26 12:00 AM,16/Aug/26 12:00 AM,,21/Jul/26 12:00 AM,,,Marta Kowalski,10800
GTS-196,100196,Configure Product Classification dashboard,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,23/Mar/26 12:00 AM,07/Jul/26 12:00 AM,07/Jul/26 12:00 AM,25/Jul/26 12:00 AM,,,Sean Gallagher,72000
GTS-197,100197,Refactor Duty Management interface,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,23/Apr/26 12:00 AM,01/Sep/26 12:00 AM,,19/May/26 12:00 AM,,,Amara Okafor,104400
GTS-198,100198,Refactor Denied Party cutover task,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,24/Apr/26 12:00 AM,28/May/26 12:00 AM,28/May/26 12:00 AM,04/Jun/26 12:00 AM,,,Marta Kowalski,97200
GTS-199,100199,Configure Product Classification audit trail,Task,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,21/Feb/26 12:00 AM,07/Aug/26 12:00 AM,,08/Apr/26 12:00 AM,,,Priya Nandakumar,100800
GTS-200,100200,Document Denied Party reconciliation,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,23/Mar/26 12:00 AM,18/Aug/26 12:00 AM,,27/Apr/26 12:00 AM,,,Daniel Osei,54000
GTS-201,100201,Validate Denied Party audit trail,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,28/Feb/26 12:00 AM,22/Mar/26 12:00 AM,22/Mar/26 12:00 AM,27/Mar/26 12:00 AM,,,Priya Nandakumar,64800
GTS-202,100202,Integrate Denied Party master record,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,19/May/26 12:00 AM,09/Jun/26 12:00 AM,09/Jun/26 12:00 AM,05/Jun/26 12:00 AM,,,Amara Okafor,32400
GTS-203,100203,Onboard Product Classification batch job,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,10/Aug/26 12:00 AM,29/Aug/26 12:00 AM,29/Aug/26 12:00 AM,27/Aug/26 12:00 AM,,,Hiroshi Tanaka,14400
GTS-204,100204,Deploy Denied Party approval workflow,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,12/Jan/26 12:00 AM,08/Feb/26 12:00 AM,08/Feb/26 12:00 AM,14/Feb/26 12:00 AM,,,Sean Gallagher,79200
GTS-205,100205,Reconcile Duty Management approval workflow,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,29/Mar/26 12:00 AM,19/Apr/26 12:00 AM,19/Apr/26 12:00 AM,15/Apr/26 12:00 AM,,,Priya Nandakumar,43200
GTS-206,100206,Test Broker EDI training module,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,18/May/26 12:00 AM,20/Jun/26 12:00 AM,20/Jun/26 12:00 AM,17/Jun/26 12:00 AM,,,Sean Gallagher,226800
GTS-207,100207,Design Duty Management conversion rule,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,18/May/26 12:00 AM,31/May/26 12:00 AM,31/May/26 12:00 AM,02/Jun/26 12:00 AM,,,Sean Gallagher,10800
GTS-208,100208,Refactor Duty Management master record,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,23/May/26 12:00 AM,17/Jun/26 12:00 AM,17/Jun/26 12:00 AM,11/Jun/26 12:00 AM,,,Marta Kowalski,111600
GTS-209,100209,Build Duty Management test script,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,06/Mar/26 12:00 AM,05/May/26 12:00 AM,05/May/26 12:00 AM,12/May/26 12:00 AM,,,Amara Okafor,583200
GTS-210,100210,Validate Product Classification conversion rule,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,02/Mar/26 12:00 AM,22/Mar/26 12:00 AM,22/Mar/26 12:00 AM,17/Mar/26 12:00 AM,,,Daniel Osei,72000
GTS-211,100211,Decommission Duty Management API contract,Task,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,13/Apr/26 12:00 AM,25/Aug/26 12:00 AM,,11/Jun/26 12:00 AM,,,Priya Nandakumar,86400
GTS-212,100212,Decommission Product Classification API contract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,23/Mar/26 12:00 AM,17/Apr/26 12:00 AM,17/Apr/26 12:00 AM,17/Apr/26 12:00 AM,,,Priya Nandakumar,126000
GTS-213,100213,Configure Duty Management training module,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,14/May/26 12:00 AM,03/Aug/26 12:00 AM,,13/Jun/26 12:00 AM,,,Priya Nandakumar,136800
GTS-214,100214,Decommission Denied Party test script,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,25/Mar/26 12:00 AM,22/Aug/26 12:00 AM,,21/Apr/26 12:00 AM,,,Priya Nandakumar,61200
GTS-215,100215,Decommission Duty Management reporting extract,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,24/Apr/26 12:00 AM,13/May/26 12:00 AM,13/May/26 12:00 AM,12/May/26 12:00 AM,,,Hiroshi Tanaka,36000
GTS-216,100216,Reconcile Product Classification API contract,Story,Blocked,In Progress,GTS,SAP GTS,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,17/Jul/26 12:00 AM,17/Jul/26 12:00 AM,,24/Jul/26 12:00 AM,,,Daniel Osei,154800
GTS-217,100217,Automate Broker EDI approval workflow,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,11/Apr/26 12:00 AM,21/May/26 12:00 AM,21/May/26 12:00 AM,24/May/26 12:00 AM,,,Priya Nandakumar,14400
GTS-218,100218,Build Product Classification batch job,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,12/Jan/26 12:00 AM,15/Mar/26 12:00 AM,15/Mar/26 12:00 AM,22/Apr/26 12:00 AM,,,Priya Nandakumar,183600
GTS-219,100219,Build Denied Party data model,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,20/Jul/26 12:00 AM,20/Aug/26 12:00 AM,20/Aug/26 12:00 AM,17/Aug/26 12:00 AM,,,Marta Kowalski,61200
GTS-220,100220,Deploy Product Classification approval workflow,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,18/May/26 12:00 AM,26/Aug/26 12:00 AM,,15/Jun/26 12:00 AM,,,Sean Gallagher,86400
GTS-221,100221,Build Broker EDI API contract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,19/Jun/26 12:00 AM,09/Jul/26 12:00 AM,09/Jul/26 12:00 AM,11/Jul/26 12:00 AM,,,Daniel Osei,54000
GTS-222,100222,Migrate Denied Party master record,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,12/Jan/26 12:00 AM,15/Feb/26 12:00 AM,15/Feb/26 12:00 AM,07/Mar/26 12:00 AM,,,Hiroshi Tanaka,313200
GTS-223,100223,Decommission Denied Party approval workflow,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,10/Jul/26 12:00 AM,01/Aug/26 12:00 AM,01/Aug/26 12:00 AM,07/Aug/26 12:00 AM,,,Sean Gallagher,108000
GTS-224,100224,Reconcile Duty Management training module,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,03/Feb/26 12:00 AM,03/Mar/26 12:00 AM,03/Mar/26 12:00 AM,05/Mar/26 12:00 AM,,,Hiroshi Tanaka,64800
GTS-225,100225,Migrate Denied Party training module,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,11/Apr/26 12:00 AM,20/Apr/26 12:00 AM,20/Apr/26 12:00 AM,21/Apr/26 12:00 AM,,,Hiroshi Tanaka,64800
GTS-226,100226,Test Broker EDI reporting extract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,10/Aug/26 12:00 AM,27/Aug/26 12:00 AM,27/Aug/26 12:00 AM,27/Aug/26 12:00 AM,,,Marta Kowalski,75600
GTS-227,100227,Test Product Classification user role,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,03/May/26 12:00 AM,01/Jun/26 12:00 AM,01/Jun/26 12:00 AM,03/Jun/26 12:00 AM,,,Sean Gallagher,748800
GTS-228,100228,Migrate Product Classification reconciliation,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,01/Apr/26 12:00 AM,29/Aug/26 12:00 AM,,17/May/26 12:00 AM,,,Priya Nandakumar,25200
GTS-229,100229,Migrate Product Classification test script,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,12/Jan/26 12:00 AM,21/Jan/26 12:00 AM,21/Jan/26 12:00 AM,18/Feb/26 12:00 AM,,,Hiroshi Tanaka,230400
GTS-230,100230,Document Product Classification API contract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,14/Jan/26 12:00 AM,22/Jan/26 12:00 AM,22/Jan/26 12:00 AM,25/Jan/26 12:00 AM,,,Daniel Osei,144000
GTS-231,100231,Deploy Broker EDI audit trail,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,15/Mar/26 12:00 AM,24/Mar/26 12:00 AM,24/Mar/26 12:00 AM,24/Mar/26 12:00 AM,,,Priya Nandakumar,345600
GTS-232,100232,Automate Duty Management cutover task,Story,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,21/Jul/26 12:00 AM,25/Jul/26 12:00 AM,,27/Aug/26 12:00 AM,,,Hiroshi Tanaka,151200
GTS-233,100233,Automate Product Classification conversion rule,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,28/Apr/26 12:00 AM,02/Sep/26 12:00 AM,,14/May/26 12:00 AM,,,Amara Okafor,86400
GTS-234,100234,Design Denied Party approval workflow,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,08/Jul/26 12:00 AM,17/Aug/26 12:00 AM,17/Aug/26 12:00 AM,28/Aug/26 12:00 AM,,,Amara Okafor,216000
GTS-235,100235,Refactor Denied Party audit trail,Task,Blocked,In Progress,GTS,SAP GTS,P3 - Medium,,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,23/May/26 12:00 AM,22/Jul/26 12:00 AM,,30/May/26 12:00 AM,,,Sean Gallagher,108000
GTS-236,100236,Deploy Broker EDI test script,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,01/Mar/26 12:00 AM,03/Sep/26 12:00 AM,,29/Mar/26 12:00 AM,,,Hiroshi Tanaka,169200
GTS-237,100237,Design Duty Management user role,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,09/Aug/26 12:00 AM,09/Aug/26 12:00 AM,,28/Aug/26 12:00 AM,,,Marta Kowalski,313200
GTS-238,100238,Automate Denied Party data model,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Sean Gallagher,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,01/Apr/26 12:00 AM,02/May/26 12:00 AM,02/May/26 12:00 AM,27/Apr/26 12:00 AM,,,Sean Gallagher,93600
GTS-239,100239,Deploy Broker EDI conversion rule,Task,To Do,To Do,GTS,SAP GTS,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,09/Feb/26 12:00 AM,23/Mar/26 12:00 AM,,24/Feb/26 12:00 AM,,,Priya Nandakumar,57600
GTS-240,100240,Onboard Denied Party batch job,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-5,Product Classification,Global Trade,,08/Apr/26 12:00 AM,15/Apr/26 12:00 AM,15/Apr/26 12:00 AM,14/Apr/26 12:00 AM,,,Priya Nandakumar,46800
GTS-241,100241,Refactor Denied Party reporting extract,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Daniel Osei,Priya Nandakumar,Priya Nandakumar,GTS-6,Broker EDI,Global Trade,,12/Feb/26 12:00 AM,09/Mar/26 12:00 AM,09/Mar/26 12:00 AM,13/Mar/26 12:00 AM,,,Daniel Osei,129600
GTS-242,100242,Validate Duty Management test script,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,27/Jun/26 12:00 AM,29/Jul/26 12:00 AM,29/Jul/26 12:00 AM,30/Jul/26 12:00 AM,,,Marta Kowalski,39600
GTS-243,100243,Configure Product Classification cutover task,Task,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Hiroshi Tanaka,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,11/May/26 12:00 AM,23/Jun/26 12:00 AM,23/Jun/26 12:00 AM,06/Jul/26 12:00 AM,,,Hiroshi Tanaka,64800
GTS-244,100244,Integrate Product Classification user role,Story,Deployment Completed,Done,GTS,SAP GTS,P3 - Medium,Done,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,17/Mar/26 12:00 AM,04/Apr/26 12:00 AM,04/Apr/26 12:00 AM,08/Apr/26 12:00 AM,,,Amara Okafor,36000
GTS-245,100245,Onboard Denied Party API contract,Story,Descoped,Done,GTS,SAP GTS,P3 - Medium,Won't Do,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,GTS-4,Denied Party,Global Trade,,25/Mar/26 12:00 AM,02/May/26 12:00 AM,,29/Apr/26 12:00 AM,,,Priya Nandakumar,136800
GTS-246,100246,Deploy Duty Management reporting extract,Story,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Amara Okafor,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,17/Aug/26 12:00 AM,20/Aug/26 12:00 AM,,24/Sep/26 12:00 AM,,,Amara Okafor,43200
GTS-247,100247,Deploy Duty Management conversion rule,Task,Development in Progress,In Progress,GTS,SAP GTS,P3 - Medium,,Marta Kowalski,Priya Nandakumar,Priya Nandakumar,GTS-7,Duty Management,Global Trade,,27/May/26 12:00 AM,18/Aug/26 12:00 AM,,12/Jul/26 12:00 AM,,,Marta Kowalski,28800
MDG-1,100001,Material Master,Initiative,To Do,To Do,MDG,SAP MDG,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,,,Master Data,,,,,,,,,
MDG-2,100002,Vendor Master,Initiative,To Do,To Do,MDG,SAP MDG,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,,,Master Data,,,,,,,,,
MDG-3,100003,Customer Master,Initiative,To Do,To Do,MDG,SAP MDG,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,,,Master Data,,,,,,,,,
MDG-4,100004,Stewardship Workflow,Epic,To Do,To Do,MDG,SAP MDG,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,MDG-1,Material Master,Master Data,,,,,,,,,
MDG-5,100005,Data Quality Rules,Epic,To Do,To Do,MDG,SAP MDG,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,MDG-2,Vendor Master,Master Data,,,,,,,,,
MDG-6,100006,Integration,Epic,To Do,To Do,MDG,SAP MDG,P3 - Medium,,,Priya Nandakumar,Priya Nandakumar,MDG-3,Customer Master,Master Data,,,,,,,,,
MDG-7,100007,Automate Data Quality Rules training module,Story,To Do,To Do,MDG,SAP MDG,P3 - Medium,,Daniel Osei,Priya Nandakumar,Priya Nandakumar,MDG-5,Data Quality Rules,Master Data,,27/Apr/26 12:00 AM,16/May/26 12:00 AM,,21/Jun/26 12:00 AM,,,Daniel Osei,43200
MDG-8,100008,Onboard Stewardship Workflow approval workflow,Story,Development in Progress,In Progress,MDG,SAP MDG,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,MDG-5,Data Quality Rules,Master Data,,11/Apr/26 12:00 AM,15/Aug/26 12:00 AM,,14/Jun/26 12:00 AM,,,Priya Nandakumar,64800
MDG-9,100009,Validate Stewardship Workflow API contract,Story,Development in Progress,In Progress,MDG,SAP MDG,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,MDG-5,Data Quality Rules,Master Data,,09/Apr/26 12:00 AM,29/Aug/26 12:00 AM,,13/Jun/26 12:00 AM,,,Priya Nandakumar,46800
MDG-10,100010,Configure Data Quality Rules interface,Task,To Do,To Do,MDG,SAP MDG,P3 - Medium,,Priya Nandakumar,Priya Nandakumar,Priya Nandakumar,MDG-6,Integration,Master Data,,06/Jun/26 12:00 AM,06/Jun/26 12:00 AM,,26/Jul/26 12:00 AM,,,Priya Nandakumar,226800
